thresh,session,group,sid,stimulus,block_top,block_real,block,day,bout,time
6.083,24h,L24L24L,2032,L4k,2,2,2,2,2,
8.925,24h,L24L24L,2032,L4k,3,3,3,2,2,
4.812,24h,L24L24L,2032,L4k,4,4,4,2,2,
4.604,24h,L24L24L,2032,L4k,5,5,5,2,2,last
1.812,24h,L24L24L,2267,L4k,1,1,1,2,2,first
2.688,24h,L24L24L,2267,L4k,2,2,2,2,2,
1.625,24h,L24L24L,2267,L4k,3,3,3,2,2,
2.25,24h,L24L24L,2267,L4k,4,4,4,2,2,
1.969,24h,L24L24L,2267,L4k,5,5,5,2,2,last
2.458,24h,L24L24L,2268,L4k,1,1,1,2,2,first
2.156,24h,L24L24L,2268,L4k,2,2,2,2,2,
2.25,24h,L24L24L,2268,L4k,3,3,3,2,2,
1.958,24h,L24L24L,2268,L4k,4,4,4,2,2,
2.15,24h,L24L24L,2268,L4k,5,5,5,2,2,last
6.875,24h,L24L24L,2271,L4k,1,1,1,2,2,first
4.325,24h,L24L24L,2271,L4k,2,2,2,2,2,
6.45,24h,L24L24L,2271,L4k,3,3,3,2,2,
5.375,24h,L24L24L,2271,L4k,4,4,4,2,2,
4.208,24h,L24L24L,2271,L4k,5,5,5,2,2,last
5.625,24h,L24L24L,2289,L4k,1,1,1,2,2,first
4.188,24h,L24L24L,2289,L4k,2,2,2,2,2,
4.688,24h,L24L24L,2289,L4k,3,3,3,2,2,
3.348,24h,L24L24L,2289,L4k,4,4,4,2,2,
3,24h,L24L24L,2289,L4k,5,5,5,2,2,last
2.792,24h,L24L24L,2325,L4k,1,1,1,2,2,first
3.708,24h,L24L24L,2325,L4k,2,2,2,2,2,
3.583,24h,L24L24L,2325,L4k,3,3,3,2,2,
3,24h,L24L24L,2325,L4k,4,4,4,2,2,
1.875,24h,L24L24L,2325,L4k,5,5,5,2,2,last
1.625,24h,L24L24L,23251,L4k,1,1,1,2,2,first
0.594,24h,L24L24L,23251,L4k,2,2,2,2,2,
1.375,24h,L24L24L,23251,L4k,3,3,3,2,2,
1.25,24h,L24L24L,23251,L4k,4,4,4,2,2,
1.475,24h,L24L24L,23251,L4k,5,5,5,2,2,last
1.625,24h,L24L24L,2385,L4k,1,1,1,2,2,first
0.594,24h,L24L24L,2385,L4k,2,2,2,2,2,
1.375,24h,L24L24L,2385,L4k,3,3,3,2,2,
1.25,24h,L24L24L,2385,L4k,4,4,4,2,2,
1.475,24h,L24L24L,2385,L4k,5,5,5,2,2,last
2.175,24h,L24L24L,2392,L4k,1,1,1,2,2,first
3.675,24h,L24L24L,2392,L4k,2,2,2,2,2,
1.542,24h,L24L24L,2392,L4k,3,3,3,2,2,
3.812,24h,L24L24L,2392,L4k,4,4,4,2,2,
1.938,24h,L24L24L,2392,L4k,5,5,5,2,2,last
4.65,24h,L24L24L,2588,L4k,1,1,1,2,2,first
5.042,24h,L24L24L,2588,L4k,2,2,2,2,2,
5.531,24h,L24L24L,2588,L4k,3,3,3,2,2,
3.208,24h,L24L24L,2588,L4k,4,4,4,2,2,
4.875,24h,L24L24L,2588,L4k,5,5,5,2,2,last
